,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq,significant
Resolution (A),869.0193407407417,2.0,504.3821679875039,1.1503586718434792e-35,0.044540541924465105,0.9491891116665494,True
Training Method (B),17317.413807407356,2.0,10051.09358402955,3.59422439391714e-70,0.8875832326754297,0.997320921881219,True
Optimizer (C),632.9758740740649,2.0,367.3816320096251,3.606378261537195e-32,0.03244241771689383,0.9315383937572909,True
A x B,140.729674074074,4.0,40.840022069677104,9.97695823942249e-16,0.007212930316107448,0.7515643261482352,True
A x C,64.8441629629626,4.0,18.81790080110051,9.71225446239202e-10,0.003323509643118899,0.5822748487568756,True
B x C,401.11787407407314,4.0,116.4051784920962,7.118626314984992e-26,0.02055881457324045,0.8960780458738881,True
A x B x C,38.12908888888862,8.0,5.532567462990259,4.051001595820075e-05,0.0019542606275593333,0.45044063300779336,True
Residual,46.519333333333336,54.0,,,0.0023842925231852214,0.5,False
