group1,group2,meandiff,p-adj,lower,upper,reject
32,64,-3.8541,0.0461,-7.6545,-0.0537,True
32,96,-6.1678,0.0006,-9.9682,-2.3674,True
64,96,-2.3137,0.3184,-6.1141,1.4867,False
