resolution,training_method,optimizer,n,mean,std,se,ci_lower,ci_upper
32,standard,sgd,3,71.39999999999999,0.32078029864691165,0.185202591774523,71.03700292012192,71.76299707987806
32,standard,adam,3,79.34666666666668,0.23713568549109154,0.13691035185274814,79.07832237703529,79.61501095629806
32,standard,adamw,3,78.73,0.8150460109711478,0.4705670338361229,77.80768861368121,79.6523113863188
32,fgsm,sgd,3,65.53333333333333,0.6741167060185783,0.38920146168505004,64.77049846843063,66.29616819823603
32,fgsm,adam,3,76.75333333333333,0.07637626158259299,0.04409585518440734,76.6669054571719,76.83976120949477
32,fgsm,adamw,3,76.78333333333335,0.33080709383767243,0.19099156467701797,76.40898986656639,77.1576768001003
32,pgd,sgd,3,65.37333333333333,0.8723149278404699,0.5036312584068243,64.38621606685597,66.3604505998107
32,pgd,adam,3,76.08333333333333,0.26764404221528243,0.15452435981999288,75.78046558808614,76.38620107858051
32,pgd,adamw,3,76.56333333333333,0.6373643646559903,0.3679824875060108,75.84208765782155,77.28457900884511
64,standard,sgd,3,69.02333333333333,0.25658007197234034,0.14813657362192426,68.73298564903436,69.31368101763229
64,standard,adam,3,76.22666666666667,1.0165792312128503,0.586922292793322,75.07629897279176,77.37703436054159
64,standard,adamw,3,77.09666666666668,0.8025168741735786,0.4633333333333327,76.18853333333334,78.00480000000002
64,fgsm,sgd,3,59.696666666666665,0.37421027956662534,0.21605040564131625,59.273207871609685,60.120125461723646
64,fgsm,adam,3,72.64999999999999,0.26057628441590697,0.15044378795195637,72.35513017561416,72.94486982438582
64,fgsm,adamw,3,72.64666666666666,0.6312949653952045,0.3644783182089768,71.93228916297707,73.36104417035625
64,pgd,sgd,3,59.06,0.18330302779823338,0.1058300524425835,58.85257309721254,59.26742690278746
64,pgd,adam,3,72.48666666666666,0.3552933060632174,0.20512868589687067,72.0846144423088,72.88871889102452
64,pgd,adamw,3,72.99333333333334,0.5179124765183157,0.29901690773451534,72.40726019417369,73.57940647249299
96,standard,sgd,3,66.17999999999999,1.3862178760930766,0.8003332639178091,64.61134680272109,67.7486531972789
96,standard,adam,3,74.26,3.4425717131237743,1.9875697052766024,70.36436337765787,78.15563662234214
96,standard,adamw,3,74.00999999999999,2.507668239620224,1.4478029331830113,71.17230625096128,76.8476937490387
96,fgsm,sgd,3,58.44333333333333,0.6572924260428811,0.3794879591121596,57.699536933473496,59.18712973319316
96,fgsm,adam,3,69.85666666666667,1.3384443706532374,0.7727512176919858,68.34207427999037,71.37125905334297
96,fgsm,adamw,3,70.09,0.8697125962063559,0.5021288015373478,69.1058275489868,71.07417245101321
96,pgd,sgd,3,57.696666666666665,0.3061590000854674,0.1767609811141713,57.35021514368289,58.04311818965044
96,pgd,adam,3,70.32,0.42579337712087734,0.2458319208998984,69.83816943503619,70.8018305649638
96,pgd,adamw,3,70.2,0.4279018579067027,0.2470492528491758,69.71578346441562,70.68421653558438
