group1,group2,meandiff,p-adj,lower,upper,reject
32,64,-6.2174,0.3071,-16.2703,3.8355,False
32,96,-7.5004,0.1821,-17.5533,2.5526,False
64,96,-1.283,0.9501,-11.3359,8.77,False
