group1,group2,meandiff,p-adj,lower,upper,reject
32,64,-2.7911,0.1256,-6.1706,0.5884,False
32,96,-4.81,0.003,-8.1895,-1.4305,True
64,96,-2.0189,0.3319,-5.3984,1.3606,False
