resolution,training_method,optimizer,n,mean,std,se,ci_lower,ci_upper
32,standard,sgd,3,25.013333333333332,2.1271890685440575,1.228133181341141,22.606192297904695,27.42047436876197
32,standard,adam,3,29.256666666666664,1.0636885509082687,0.6141208712008119,28.05298975911307,30.460343574220257
32,standard,adamw,3,30.076666666666668,1.752265200628415,1.011670785274429,28.093791927528788,32.05954140580455
32,fgsm,sgd,3,48.26,0.5823229344616248,0.3362043029667119,47.60103956618524,48.91896043381475
32,fgsm,adam,3,58.699999999999996,0.14730919862656164,0.08504900548115342,58.53330394925693,58.86669605074306
32,fgsm,adamw,3,58.870000000000005,0.2227105745131998,0.1285820101465721,58.617979260112726,59.12202073988728
32,pgd,sgd,3,48.32,0.6717886572427364,0.3878573620976311,47.55979957028865,49.080200429711354
32,pgd,adam,3,58.370000000000005,0.2685144316419478,0.15502687938977797,58.06614731639604,58.67385268360397
32,pgd,adamw,3,58.81333333333333,0.5547371750057252,0.320277657319048,58.185589124988,59.441077541678666
64,standard,sgd,3,19.336666666666666,1.8204486626470229,1.051036525425153,17.276635076833365,21.396698256499967
64,standard,adam,3,16.706666666666667,0.31390019645315914,0.18123036292090786,16.35145515534169,17.061878177991645
64,standard,adamw,3,17.233333333333334,0.7479527614317181,0.4318307281537264,16.38694510615203,18.07972156051464
64,fgsm,sgd,3,44.776666666666664,0.3955165398985624,0.22835158077938436,44.32909756833907,45.224235764994255
64,fgsm,adam,3,53.54333333333333,0.18339392937972104,0.10588253449512516,53.335803565722884,53.750863100943775
64,fgsm,adamw,3,53.78333333333333,0.38837267325770003,0.2242270674512277,53.34384828112893,54.222818385537735
64,pgd,sgd,3,45.15,0.17776388834631268,0.1026320287889382,44.94884122357368,45.35115877642632
64,pgd,adam,3,54.326666666666675,0.2650157228040133,0.15300689890038033,54.02677314482193,54.62656018851142
64,pgd,adamw,3,54.86666666666667,0.3763420430052064,0.21728117983642964,54.44079555418727,55.292537779146066
96,standard,sgd,3,19.956666666666667,1.5133516885817826,0.873734004781267,18.244148017295384,21.66918531603795
96,standard,adam,3,15.12,1.3275164782404765,0.7664419960658031,13.617773687711026,16.622226312288973
96,standard,adamw,3,15.733333333333334,1.4960057932151645,0.8637193474220148,14.040443412386185,17.426223254280483
96,fgsm,sgd,3,44.10333333333333,0.3607399802258366,0.20827332469084703,43.69511761693927,44.51154904972739
96,fgsm,adam,3,51.776666666666664,1.1041889934849607,0.637503812624764,50.527159193922124,53.026174139411204
96,fgsm,adamw,3,52.00666666666666,0.7921068951431577,0.4573231291378608,51.110313333556455,52.903019999776866
96,pgd,sgd,3,44.086666666666666,0.24006943440041173,0.13860415257527892,43.81500252761912,44.35833080571421
96,pgd,adam,3,52.74666666666667,0.5301257712404995,0.3060682567300604,52.14677288347575,53.34656044985759
96,pgd,adamw,3,52.64666666666667,0.3590728802532079,0.20731082407288384,52.24033745148382,53.05299588184952
