,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq,significant
Resolution (A),75.81216543209378,2.0,23.10200450092734,5.632923951374114e-08,0.0031091977696949117,0.4610994057233727,True
Training Method (B),23303.446861728426,2.0,7101.186613235391,4.13415722865813e-66,0.9557176555468407,0.9962122203773585,True
Optimizer (C),409.0772246913497,2.0,124.65682561872472,5.801611924837294e-21,0.01677701708418542,0.8219664700889904,True
A x B,250.96750864197736,4.0,38.2382727177653,3.6929707757944945e-15,0.01029264384796473,0.7390713046482411,True
A x C,100.07830123456681,4.0,15.248274154871819,2.0978780451407996e-08,0.004104397087458011,0.5304065932002312,True
B x C,126.307693827161,4.0,19.2446746156492,6.875238834238185e-10,0.0051801132140787964,0.5877192197369359,True
A x B x C,28.898069135802672,8.0,2.2015045983662285,0.04156276791592681,0.0011851635102813017,0.24593682259494487,True
Residual,88.60393333333332,54.0,,,0.003633811939496109,0.5,False
