,sum_sq,df,F,PR(>F),eta_sq,partial_eta_sq,significant
Resolution (A),524.2373506173055,2.0,244.80915675821336,8.350094391488103e-28,0.16442003776995798,0.9006655981644587,True
Training Method (B),443.6611432098871,2.0,207.1815566512059,4.665509116248688e-26,0.13914838734351015,0.8847048401842581,True
Optimizer (C),2054.2617209876184,2.0,959.3022684924538,6.4350328501051205e-43,0.6442917303706771,0.9726250249416246,True
A x B,16.52293827160524,4.0,3.857953444824771,0.007901519359296113,0.0051821987340066825,0.2222585431564808,True
A x C,7.336182716049189,4.0,1.712930891346618,0.16056759779542026,0.002300895649346169,0.1125970336407012,False
B x C,78.6374123456789,4.0,18.361109317492105,1.4126046962238805e-09,0.024663573270358025,0.5762859395297842,True
A x B x C,5.928172839506181,8.0,0.6920867962992027,0.6967131771601899,0.001859292171820062,0.09299633493167041,False
Residual,57.81813333333321,54.0,,,0.018133884690323888,0.5,False
