,SS,DF,F_value,p_value,eta_sq,partial_eta_sq,significant
Resolution (A),315.020822222235,2.0,178.59348189127192,1.5688065925334248e-24,0.1300825370758966,0.8686728793557816,True
Augmentation (B),43.34420000000304,2.0,24.572952172447962,2.5788604429618346e-08,0.017898256577934566,0.4764697605497107,True
Optimizer (C),1906.6733407407025,2.0,1080.9426130947063,2.78519394513845e-44,0.7873286082770556,0.9756305067781592,True
A × B,10.446088888889326,4.0,2.9610794830196365,0.02768867119774701,0.004313536278654109,0.17988367567717092,True
A × C,77.46343703703704,4.0,21.95801668302116,8.417660396667402e-11,0.03198722023932778,0.6192680453426379,True
B × C,15.510548148148336,4.0,4.3966661953949275,0.0037745374881114784,0.006404819339610542,0.24566956478890206,True
A × B × C,5.615851851851498,8.0,0.7959430498376396,0.6085739356920172,0.002318971335221322,0.10547959937953222,False
Residual,47.62526666666675,54.0,,,0.01966605087629939,0.5,False
