group1,group2,meandiff,p-adj,lower,upper,reject
32,64,2.3633,0.8754,-9.116,13.8427,False
32,96,1.3326,0.9585,-10.1468,12.812,False
64,96,-1.0307,0.975,-12.5101,10.4486,False
